idT,idM,idK,rmsX,rmsY,rmsZ,aRms,aPeakX,aPeakY,aPeakZ,aPeak,latitude,longitude,vreme,brzina,maxX,maxY,maxZ,opis
3903,96,13,0.0579,0.0725,0.0945,0.1324,0.1967,-0.1042,0.3319,0.3996,43.8897681,20.3424644,2016-01-19-07-19-16,0,0.19671464,0.220483303,0.331910133,its vezbe
3904,96,13,0.0478,0.0697,0.0865,0.1209,0.0283,-0.0629,0.437,0.4424,43.8897289,20.3423367,2016-01-19-07-19-30,0,-0.196960926,-0.249467611,0.43702507,its vezbe
3905,96,13,0.1112,0.1162,0.2123,0.2663,0.2662,0.1564,1.0419,1.0867,43.8900133,20.3425683,2016-01-19-07-19-43,17.9685,-0.454836249,-0.587694764,1.041926384,its vezbe
3906,96,13,0.1061,0.1306,0.2395,0.2927,0.1118,-0.6878,0.691,0.9814,43.8904816,20.3428183,2016-01-19-07-19-54,0,-0.293414354,-0.687820315,-0.941583633,its vezbe
3907,96,13,0.092,0.1248,0.2043,0.2565,0.1435,0.1216,-0.5139,0.5473,43.89031,20.3431483,2016-01-19-07-20-02,15.0964,-0.336772382,-0.370625049,0.51957798,its vezbe
3908,96,13,0.0377,0.0456,0.055,0.0808,0.2961,-0.026,0.0073,0.2973,43.8901616,20.3431866,2016-01-19-07-20-10,0,0.296055913,-0.16335696,0.14942646,its vezbe
3909,96,13,0.0284,0.0547,0.0503,0.0796,0.0407,-0.1098,0.1349,0.1787,43.8902566,20.3432416,2016-01-19-07-20-19,4.5621,-0.075517535,0.129098773,0.134946823,its vezbe
3910,96,13,0.0273,0.0492,0.083,0.1002,0.0501,0.0954,-0.6,0.6096,43.8901016,20.3432483,2016-01-19-07-20-38,0,-0.071962953,0.173189044,-0.60003376,its vezbe
3911,96,13,0.0254,0.0362,0.0663,0.0797,0.024,-0.0541,0.1569,0.1677,43.8901816,20.3431516,2016-01-19-07-20-50,0,0.073293924,0.092481852,0.156866074,its vezbe
3912,96,13,0.0895,0.0854,0.1888,0.2257,-0.0253,0.1687,-0.7882,0.8065,43.8901916,20.3431716,2016-01-19-07-21-12,14.1514,-0.264189363,0.265412927,-0.788220882,its vezbe
3913,96,13,0.0973,0.102,0.1585,0.2121,-0.2149,-0.1807,-0.7482,0.7991,43.8899683,20.3435216,2016-01-19-07-21-20,10.2582,-0.377940416,-0.419910938,-0.748174667,its vezbe
3914,96,13,0.1182,0.1119,0.2128,0.2679,0.2284,0.2196,-0.9373,0.9894,43.8895066,20.34368,2016-01-19-07-21-33,29.1014,-0.560439229,-0.36473459,-0.937328339,its vezbe
3915,96,13,0.1545,0.1688,0.3443,0.4134,0.6426,-0.7212,1.339,1.6511,43.8886916,20.3433983,2016-01-19-07-21-42,34.4399,0.835889101,0.952500582,1.338968277,its vezbe
3916,96,13,0.0745,0.0734,0.1308,0.1675,0.0237,-0.0458,0.5749,0.5772,43.8874283,20.3429583,2016-01-19-07-22-00,23.5572,-0.332948744,0.318405628,0.574886322,its vezbe
3917,96,13,0.1238,0.1273,0.3706,0.411,0.1735,-0.2353,1.6013,1.6278,43.8869583,20.3429783,2016-01-19-07-22-08,26.4923,-0.441815555,-0.420652986,1.601293564,its vezbe
3918,96,13,0.1287,0.1347,0.3304,0.3793,0.2872,0.0975,1.5738,1.6027,43.8863216,20.3429016,2016-01-19-07-22-20,14.0569,-0.388666093,-0.750762582,1.57377243,its vezbe
